config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.022499078056814503,0.07336112132203379,0.004875645608219541,0.94,1.0,0.9775009219431855
inter_0.25,200,10,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02106504053146041,0.08297167882958753,0.006440563555208153,0.93,1.0,0.9789349594685396
inter_0.5,200,10,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02212763963590636,0.10420897400604733,0.01036987782753652,0.95,1.0,0.9778723603640936
inter_1.0,200,10,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017383089865256718,0.15783302240297273,0.024609091147593708,0.91,1.0,0.9826169101347433
hete_0.15,200,10,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.022477936601774662,0.0813969523756866,0.006120206222176392,0.96,1.0,0.9775220633982253
hete_0.3,200,10,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.025247440533601617,0.09193813161739878,0.007815186791800394,0.92,1.0,0.9747525594663984
hete_0.5,200,10,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.029166080883504697,0.11045903131887816,0.011350537325801763,0.94,1.0,0.9708339191164953
noise_0.5,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.00984037940434701,0.04097545580244036,0.0015821549113962466,0.95,1.0,0.990159620595653
noise_1.0,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.024537553276406388,0.07673989589810094,0.005286920101658883,0.94,1.0,0.9754624467235936
noise_2.0,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.046605408041741625,0.14855765907940632,0.019897314012415884,0.94,1.0,0.9533945919582584
rho_0.3,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.022377348059351765,0.07811456125926486,0.005601138974558063,0.94,1.0,0.9776226519406482
rho_0.5,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.02316701168945423,0.07854007612992665,0.005631833127875364,0.94,1.0,0.9768329883105458
rho_0.7,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.024066273319867104,0.0786605578474653,0.005608297849367883,0.94,1.0,0.9759337266801329
s1_0.5,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.04639321145163622,0.15340136819860278,0.021379649696407085,0.92,1.0,0.9536067885483638
s1_1.0,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.024431821467790216,0.07891068669465412,0.005629982574387892,0.94,1.0,0.9755681785322098
s1_2.0,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.011969317201767526,0.04152628426456947,0.0015811677305453031,0.95,1.0,0.9880306827982325
